Ticker,Empresa,Sector,Precio,Valor Justo,Precio Max Compra,Upside Potencial,Decisión,WACC,Deuda Total,Total Cash,Deuda Neta,Market Cap,Enterprise Value,FCF,Crecimiento (g),Ke,Kd,Beta,Ultima Actualizacion
GT,The Goodyear Tire & Rubber Company,Consumer Cyclical,8.77,25.08996599501965,20.07197279601572,1.8608855182462545,COMPRA FUERTE,0.05564250423318719,7256000000,801000000,6455000000,2510386688,8965386688,339500000,0.03,0.09715000000000001,0.05,1.103,20/02/2026
AMGN,Amgen Inc.,Healthcare,375.5,380.3804296198566,304.3043436958853,0.012997149453679397,MANTENER/VENTA,0.060740889394051714,55435001856,9128999936,46306001920,202419896320,248725898240,7501875200,0.03,0.0656,0.05,0.472,20/02/2026
CWEN,"Clearway Energy, Inc.",Utilities,39.16,82.94779698259143,66.35823758607314,1.1181766338761858,COMPRA FUERTE,0.06409617050546676,9255000064,267000000,8988000064,7979777024,16967777088,530500000,0.03,0.0918,0.05,0.996,20/02/2026
YELP,Yelp Inc.,Communication Services,21.48,54.75439189939352,43.803513519514816,1.5490871461542608,COMPRA FUERTE,0.07668365475489829,24877000,319352000,-294475000,1354542848,1060067848,313486368,-0.023,0.06860000000000001,0.05,0.532,20/02/2026
LTC,"LTC Properties, Inc.",Real Estate,38.92,43.163099083175,34.53047926654,0.10902104530254358,MANTENER/VENTA,0.0614788900800423,947174976,17933000,929241976,1853144320,2782386296,91209872,0.03,0.07250000000000001,0.05,0.61,20/02/2026
DFIN,"Donnelley Financial Solutions, Inc.",Technology,48.53,64.65145315572377,51.72116252457902,0.33219561417110594,COMPRA FUERTE,0.08020722355989904,181600000,24500000,157100000,1334321536,1491421536,91287504,0.03,0.085,0.05,0.86,20/02/2026
CRL,"Charles River Laboratories International, Inc.",Healthcare,164.24,171.82296493205774,137.4583719456462,0.046170025158656446,MANTENER/VENTA,0.08014884932988435,2570407936,213770000,2356637936,8083149312,10439787248,526464864,0.03,0.092,0.05,1.0,20/02/2026
LPG,Dorian LPG Ltd.,Energy,35.16,51.56797064670007,41.25437651736006,0.4666658318174082,COMPRA FUERTE,0.07048370337467605,673626432,294492384,379134048,1502882688,1882016736,101537872,0.03,0.07830000000000001,0.05,0.726,20/02/2026
WSC,WillScot Holdings Corporation,Industrials,22.11,43.53508565193453,34.82806852154763,0.9690224175456594,COMPRA FUERTE,0.06878615635122907,3914810112,15911000,3898899112,4025680384,7924579496,445096384,0.03,0.09715000000000001,0.05,1.103,20/02/2026
ATGE,Covista Inc.,Consumer Defensive,96.75,199.90541618463698,159.9243329477096,1.0662058520375914,COMPRA FUERTE,0.07139113103014298,729552000,56281000,673271000,3514787072,4188058072,304273504,0.03,0.0775,0.05,0.71,20/02/2026
BRK-B,Berkshire Hathaway Inc.,Financial Services,496.94,805.6631346452486,644.5305077161989,0.6212483089412175,COMPRA FUERTE,0.08880027896762452,127243001856,381673013248,-254430011392,1072065937408,817635926016,48615874560,0.03,0.0771,0.05,0.702,20/02/2026
MD,"Pediatrix Medical Group, Inc.",Healthcare,19.3,53.39678151915818,42.71742521532655,1.7666726175729628,COMPRA FUERTE,0.07695706071358338,642267008,463100992,179166016,1680724864,1859890880,217221632,0.03,0.08095000000000001,0.05,0.779,20/02/2026
QNST,"QuinStreet, Inc.",Communication Services,11.5,27.286439925836287,21.829151940669032,1.3727339065944597,COMPRA FUERTE,0.08276860175623141,8545000,110318000,-101773000,655430336,553657336,74459504,0.03,0.07605,0.05,0.681,20/02/2026
IART,Integra LifeSciences Holdings Corporation,Healthcare,12.05,19.728303126619434,15.782642501295548,0.637203578972567,COMPRA FUERTE,0.05844354059466954,2007724032,267879008,1739845024,938825088,2678670112,90481504,0.03,0.09355,0.05,1.031,20/02/2026
AMTM,"Amentum Holdings, Inc.",Industrials,32.02,44.49651110064679,35.597208880517435,0.38964744224380976,COMPRA FUERTE,0.0751617272100144,3935000064,247000000,3688000064,7810804224,11498804288,637625024,0.03,0.092,0.05,1.0,20/02/2026
IFF,International Flavors & Fragrances Inc.,Basic Materials,81.62,230.7892300901523,184.63138407212185,1.8276063475882418,COMPRA FUERTE,0.08289049171909445,5993999872,590000000,5403999872,20918153216,26322153088,3312499968,0.03,0.09410000000000002,0.05,1.042,20/02/2026
OMCL,"Omnicell, Inc.",Healthcare,38.63,49.23470978695088,39.38776782956071,0.2745200566127589,COMPRA FUERTE,0.08054553325782356,192390000,196520000,-4130000,1774440192,1770310192,108224000,0.03,0.08045000000000001,0.05,0.769,20/02/2026
ETSY,"Etsy, Inc.",Consumer Cyclical,48.14,57.33890210192307,45.871121681538455,0.19108645828672763,MANTENER/VENTA,0.10765736218551969,3075659008,1508151040,1567507968,4771086336,6338594304,544898496,0.03,0.13005,0.05,1.761,20/02/2026
CTSH,Cognizant Technology Solutions Corporation,Technology,64.99,69.517720388365,55.61417631069201,0.06966795489098342,MANTENER/VENTA,0.09106653331129008,1174000000,1914000000,-740000000,31367192576,30627192576,1927250048,0.03,0.08985000000000001,0.05,0.957,20/02/2026
INGR,Ingredion Incorporated,Consumer Defensive,116.54,123.15707093449517,98.52565674759614,0.05677939706963412,MANTENER/VENTA,0.07194010844229352,1971000064,1033000000,938000064,7403802112,8341802176,354124992,0.03,0.07605,0.05,0.681,20/02/2026
DOC,"Healthpeak Properties, Inc.",Real Estate,17.06,27.73648363330492,22.18918690664394,0.625819673698999,COMPRA FUERTE,0.07136254620482846,10144153600,473083008,9671070592,11857449984,21528520576,1162534400,0.03,0.09735,0.05,1.107,20/02/2026
AMH,American Homes 4 Rent,Real Estate,30.87,32.938233640488676,26.35058691239094,0.06699817429506559,MANTENER/VENTA,0.07057648278047916,4860788224,45631000,4815157224,13042046976,17857204200,670410624,0.03,0.08205000000000001,0.05,0.801,20/02/2026
CTVA,"Corteva, Inc.",Basic Materials,77.02,91.94868787385333,73.55895029908267,0.19382871817519262,MANTENER/VENTA,0.08004585019238948,2995000064,4529999872,-1534999808,52044873728,50509873920,2929999872,0.03,0.07885,0.05,0.737,20/02/2026
